symbol
RELIANCE.NS
TCS.NS
HDFCBANK.NS
ICICIBANK.NS
INFY.NS
HINDUNILVR.NS
ITC.NS
SBIN.NS
BHARTIARTL.NS
BAJFINANCE.NS
KOTAKBANK.NS
LT.NS
AXISBANK.NS
ASIANPAINT.NS
MARUTI.NS
SUNPHARMA.NS
TITAN.NS
ULTRACEMCO.NS
WIPRO.NS
NESTLEIND.NS
ADANIENT.NS
ADANIPORTS.NS
BAJAJFINSV.NS
NTPC.NS
POWERGRID.NS
HCLTECH.NS
M&M.NS
TATAMOTORS.NS
TATASTEEL.NS
JSWSTEEL.NS
ONGC.NS
COALINDIA.NS
GRASIM.NS
INDUSINDBK.NS
TECHM.NS
DRREDDY.NS
CIPLA.NS
DIVISLAB.NS
EICHERMOT.NS
HEROMOTOCO.NS
BRITANNIA.NS
SHREECEM.NS
BPCL.NS
HINDALCO.NS
UPL.NS
APOLLOHOSP.NS
SBILIFE.NS
HDFCLIFE.NS
BAJAJ-AUTO.NS
PIDILITIND.NS
GODREJCP.NS
